wavelength_nm,E_norm
863.83,0.00067
864.15,0.00022
864.47,0.00045
864.78,0.00053
865.1,0.00048
865.42,0.00098
865.73,0.00028
866.05,0.00028
866.37,0.0
866.68,0.00028
867.0,0.00059
867.32,0.00039
867.63,0.0
867.95,0.0
868.26,0.0
868.58,0.00014
868.9,0.00022
869.21,0.0007
869.53,0.00045
869.85,0.00031
870.16,0.00037
870.48,0.0
870.79,0.0
871.11,0.00039
871.43,0.0
871.74,0.0
872.06,0.00014
872.37,0.00014
872.69,0.00031
873.0,0.0
873.32,0.00025
873.63,0.0009
873.95,0.00014
874.27,0.00017
874.58,0.00051
874.9,0.00037
875.21,0.00051
875.53,0.00028
875.84,0.00093
876.16,0.00051
876.47,0.00023
876.79,0.0
877.1,0.00034
877.42,0.00028
877.73,0.00082
878.05,0.00062
878.36,0.00014
878.68,6e-05
878.99,0.00017
879.3,0.00014
879.62,0.0
879.93,0.00056
880.25,0.00068
880.56,0.00059
880.88,0.0002
881.19,6e-05
881.5,0.00011
881.82,0.00059
882.13,0.00045
882.45,0.0009
882.76,0.00045
883.07,0.00023
883.39,8e-05
883.7,0.00048
884.02,0.00039
884.33,0.0002
884.64,0.00048
884.96,0.0
885.27,0.0
885.58,0.00045
885.9,0.0
886.21,0.00059
886.52,0.00031
886.84,0.00054
887.15,0.00014
887.46,0.00014
887.78,0.00017
888.09,0.0
888.4,0.00034
888.71,0.00028
889.03,0.00014
889.34,0.00042
889.65,0.00031
889.97,0.00068
890.28,3e-05
890.59,0.00051
890.9,0.0002
891.22,0.00037
891.53,0.0004
891.84,0.00023
892.15,0.0002
892.47,0.00068
892.78,0.00034
893.09,3e-05
893.4,0.0002
893.71,0.00037
894.03,0.00031
894.34,0.00073
894.65,0.0
894.96,3e-05
895.27,0.00062
895.59,0.00045
895.9,0.00034
896.21,0.00051
896.52,0.00062
896.83,0.00042
897.14,0.00028
897.45,0.00057
897.77,0.00031
898.08,0.00023
898.39,0.0004
898.7,8e-05
899.01,0.0
899.32,0.0
899.63,0.00031
899.94,0.0009
900.26,0.00025
900.57,0.0
900.88,0.00057
901.19,0.0
901.5,0.00085
901.81,0.00065
902.12,0.0
902.43,3e-05
902.74,0.0
903.05,0.00054
903.36,0.00028
903.67,0.00048
903.98,0.00028
904.29,0.00076
904.6,0.00017
904.91,0.00011
905.22,0.00023
905.53,0.00031
905.84,0.00068
906.15,3e-05
906.46,0.0
906.77,0.0
907.08,0.00028
907.39,0.0002
907.7,0.00082
908.01,0.00048
908.32,0.00074
908.63,0.0004
908.94,0.00025
909.25,0.0
909.56,0.00011
909.87,0.00017
910.18,0.0
910.49,0.00011
910.8,0.00051
911.1,0.00059
911.41,0.00076
911.72,0.00023
912.03,0.0002
912.34,0.00057
